priority,reason,rank_scope,source_rank,adp,name,position,team,player_id,sleeper_id,known_external_sources,issue,recommended_action
P0,Top-100 live-draft player missing Yahoo ID.,top_200,16,18.4,Ashton Jeanty,RB,LV,ply_sleeper_12527,12527,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P0,Top-100 live-draft player missing Yahoo ID.,top_200,18,20.4,Bhayshul Tuten,RB,JAX,ply_sleeper_12490,12490,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P0,Top-100 live-draft player missing Yahoo ID.,top_200,33,35.4,Jacory Croskey-Merritt,RB,WAS,ply_sleeper_12533,12533,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P0,Top-100 live-draft player missing Yahoo ID.,top_200,34,36.4,Dont'e Thornton,WR,LV,ply_sleeper_12541,12541,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P0,Top-100 live-draft player missing Yahoo ID.,top_200,38,40.4,Emeka Egbuka,WR,TB,ply_sleeper_12514,12514,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P0,Top-100 live-draft player missing Yahoo ID.,top_200,42,44.4,Kaleb Johnson,RB,PIT,ply_sleeper_12504,12504,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P0,Top-100 live-draft player missing Yahoo ID.,top_200,53,55.4,Omarion Hampton,RB,LAC,ply_sleeper_12507,12507,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P0,Top-100 live-draft player missing Yahoo ID.,top_200,55,57.4,Quinshon Judkins,RB,CLE,ply_sleeper_12512,12512,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P0,Top-100 live-draft player missing Yahoo ID.,top_200,58,60.4,RJ Harvey,RB,DEN,ply_sleeper_12489,12489,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
P0,Top-100 live-draft player missing Yahoo ID.,top_200,60,62.4,Matthew Golden,WR,GB,ply_sleeper_12501,12501,cbs|cfbref|espn|fantasy_data|fantasypros|gsis|ktc|mfl|nfl|pff|pfr|rotowire|sleeper|sportradar|stats,Canonical draft-pool player has no active Yahoo external ID mapping.,"Look up the player in Yahoo player search or draft payload, add the Yahoo external ID to player_external_ids, then reload the database."
